item_ID,item_type,contains
1,2,"[0,6,16,6]"
2,2,"[3,13,16,9]"
3,0,"[4,13]"
4,1,"[3,13,16]"
5,1,"[0,13,11]"
6,1,"[4,14,13]"
7,1,"[1,16,15]"
8,2,"[0,9,11,7]"
9,2,"[3,7,6,15]"
10,0,"[1,11]"
11,3,[17]
12,2,"[4,6,9,15]"
13,2,"[1,9,9,9]"
14,0,"[1,15]"
15,0,"[4,14]"
16,2,"[1,8,7,6]"
17,1,"[2,13,9]"
18,3,[17]
19,0,"[3,13]"
20,3,[17]
21,1,"[0,11,15]"
22,2,"[1,10,7,13]"
23,0,"[1,8]"
24,1,"[2,11,16]"
25,0,"[1,14]"
26,1,"[1,14,12]"
27,3,[18]
28,0,"[4,9]"
29,1,"[2,16,5]"
30,1,"[2,16,11]"
31,2,"[3,9,16,7]"
32,0,"[1,13]"
33,1,"[0,14,5]"
34,0,"[3,15]"
35,0,"[0,8]"
36,1,"[1,16,6]"
37,0,"[3,9]"
38,1,"[4,12,16]"
39,1,"[1,9,8]"
40,0,"[0,10]"
41,0,"[0,9]"
42,2,"[1,16,5,5]"
43,1,"[0,14,15]"
44,1,"[1,14,16]"
45,0,"[0,8]"
46,1,"[4,14,5]"
47,1,"[2,5,8]"
48,3,[19]
49,1,"[3,6,10]"
50,0,"[4,9]"
51,1,"[0,7,14]"
52,0,"[4,7]"
53,2,"[4,7,13,12]"
54,2,"[1,5,12,11]"
55,1,"[4,9,11]"
56,1,"[3,8,7]"
57,1,"[2,16,7]"
58,1,"[3,8,6]"
59,1,"[0,5,12]"
60,1,"[4,15,12]"
61,1,"[4,6,16]"
62,2,"[2,13,16,9]"
63,0,"[3,12]"
64,2,"[3,9,11,9]"
65,1,"[2,6,9]"
66,0,"[1,12]"
67,1,"[0,12,9]"
68,1,"[4,6,14]"
69,0,"[3,13]"
70,0,"[0,11]"
71,2,"[0,6,13,5]"
72,0,"[1,10]"
73,2,"[2,11,8,8]"
74,1,"[1,14,13]"
75,2,"[4,14,14,14]"
76,2,"[0,9,7,11]"
77,0,"[4,14]"
78,0,"[4,15]"
79,0,"[4,13]"
80,1,"[2,9,11]"
81,0,"[3,7]"
82,0,"[3,12]"
83,0,"[1,11]"
84,0,"[2,11]"
85,2,"[4,14,9,7]"
86,0,"[0,13]"
87,2,"[4,10,7,14]"
88,2,"[3,11,15,5]"
89,0,"[4,5]"
90,1,"[0,15,11]"
91,0,"[3,15]"
92,0,"[4,16]"
93,1,"[2,13,13]"
94,1,"[3,13,12]"
95,2,"[2,8,9,8]"
96,1,"[4,13,8]"
97,2,"[4,9,14,14]"
98,2,"[4,13,8,16]"
99,2,"[0,13,6,16]"
100,3,[19]
101,1,"[2,10,8]"
102,0,"[1,6]"
103,0,"[3,13]"
104,0,"[1,15]"
105,0,"[0,16]"
106,0,"[0,8]"
107,1,"[0,10,6]"
108,1,"[4,14,16]"
109,1,"[0,11,13]"
110,0,"[1,12]"
111,0,"[4,12]"
112,0,"[4,10]"
113,2,"[1,9,11,7]"
114,2,"[0,7,10,7]"
115,1,"[4,15,8]"
116,0,"[2,7]"
117,1,"[3,10,9]"
118,2,"[2,7,12,7]"
119,1,"[3,10,14]"
120,0,"[3,11]"
121,2,"[0,9,11,14]"
122,1,"[0,7,15]"
123,0,"[4,7]"
124,2,"[3,15,7,16]"
125,2,"[0,7,16,11]"
126,0,"[3,13]"
127,2,"[4,15,11,5]"
128,0,"[2,9]"
129,0,"[1,9]"
130,1,"[1,15,11]"
131,2,"[1,15,13,5]"
132,2,"[2,7,15,7]"
133,0,"[2,16]"
134,2,"[4,14,13,13]"
135,0,"[2,11]"
136,0,"[0,8]"
137,0,"[0,12]"
138,0,"[1,12]"
139,1,"[4,13,11]"
140,3,[17]
141,2,"[0,11,13,7]"
142,0,"[3,15]"
143,0,"[1,10]"
144,0,"[3,8]"
145,0,"[2,7]"
146,3,[19]
147,0,"[0,10]"
148,3,[18]
149,0,"[2,6]"
150,1,"[3,6,14]"
151,1,"[3,5,14]"
