order_ID,customer_item,order_time,price
1,[1],2024-01-01 17:42:00,12
2,[2],2024-01-01 16:46:00,12
3,[3],2024-01-01 16:29:00,8
4,[4],2024-01-01 12:30:00,10
5,[5],2024-01-01 11:33:00,10
6,[6],2024-01-01 16:54:00,10
7,"[7,8]",2024-01-01 18:26:00,22
8,[9],2024-01-01 16:36:00,12
9,[10],2024-01-01 16:19:00,8
10,[11],2024-01-01 17:35:00,6
11,[12],2024-01-01 17:03:00,12
12,[13],2024-01-01 16:14:00,12
13,[14],2024-01-01 16:27:00,8
14,[15],2024-01-01 16:59:00,8
15,[16],2024-01-01 13:18:00,12
16,[17],2024-01-01 18:08:00,10
17,[18],2024-01-01 13:26:00,6
18,[19],2024-01-01 17:23:00,8
19,[20],2024-01-01 19:38:00,6
20,[21],2024-01-01 16:32:00,10
21,[22],2024-01-01 13:02:00,12
22,[23],2024-01-01 17:44:00,8
23,[24],2024-01-01 17:08:00,10
24,[25],2024-01-01 13:13:00,8
25,"[26,27]",2024-01-01 16:53:00,16
26,[28],2024-01-01 18:37:00,8
27,[29],2024-01-01 17:28:00,10
28,[30],2024-01-01 12:44:00,10
29,"[31,32]",2024-01-01 16:56:00,20
30,[33],2024-01-01 19:34:00,10
31,[34],2024-01-01 13:14:00,8
32,[35],2024-01-01 17:36:00,8
33,[36],2024-01-01 15:58:00,10
34,[37],2024-01-01 19:20:00,8
35,[38],2024-01-01 16:50:00,10
36,[39],2024-01-01 14:47:00,10
37,[40],2024-01-01 16:46:00,8
38,[41],2024-01-01 12:57:00,8
39,[42],2024-01-01 11:32:00,12
40,[43],2024-01-01 12:07:00,10
41,[44],2024-01-01 11:43:00,10
42,"[45,46]",2024-01-01 16:52:00,18
43,[47],2024-01-01 13:59:00,10
44,[48],2024-01-01 12:31:00,6
45,"[49,50]",2024-01-01 17:09:00,18
46,[51],2024-01-01 16:44:00,10
47,[52],2024-01-01 13:12:00,8
48,"[53,54]",2024-01-01 18:28:00,24
49,[55],2024-01-01 17:49:00,10
50,[56],2024-01-01 13:14:00,10
51,[57],2024-01-01 14:23:00,10
52,[58],2024-01-01 14:18:00,10
53,[59],2024-01-01 12:35:00,10
54,[60],2024-01-01 13:08:00,10
55,[61],2024-01-01 16:36:00,10
56,[62],2024-01-01 12:51:00,12
57,[63],2024-01-01 16:44:00,8
58,[64],2024-01-01 18:17:00,12
59,[65],2024-01-01 16:10:00,10
60,[66],2024-01-01 17:38:00,8
61,[67],2024-01-01 12:25:00,10
62,[68],2024-01-01 16:57:00,10
63,"[69,70]",2024-01-01 19:05:00,16
64,[71],2024-01-01 15:25:00,12
65,[72],2024-01-01 10:08:00,8
66,[73],2024-01-01 12:36:00,12
67,[74],2024-01-01 13:55:00,10
68,[75],2024-01-01 16:36:00,12
69,[76],2024-01-01 12:07:00,12
70,"[77,78]",2024-01-01 14:56:00,16
